Time_(s),bleach,background
0,69.9709,37.31817
1,70.6007,37.72129
2,1.6601,38.17305
3,7.9523,37.64957
4,10.1918,38.15258
5,11.9229,37.97998
6,14.0239,38.88557
7,15.1784,38.49773
8,16.5618,38.82281
9,17.5758,38.19888
10,18.4846,38.00227
11,19.3023,37.86903
12,19.5686,37.09739
13,20.6824,37.25190
14,21.8075,37.62724
15,23.1042,38.04405
16,23.3719,37.35418
17,24.4190,37.30415
18,25.0569,36.97205
19,25.8990,36.70813
20,27.0425,37.07843
21,28.0376,37.31904
22,28.3176,37.09896
23,28.6428,36.51819
24,29.4049,36.65722
25,30.3810,36.93980
26,30.7716,36.72808
27,31.4098,36.59266
28,31.3739,36.10225
29,31.7912,36.03788
30,32.0042,35.35995
31,31.8026,34.94062
32,32.3591,34.98281
33,33.1637,35.04785
34,33.8193,35.34415
35,34.2614,35.28624
36,35.3392,35.89184
37,36.0824,36.15962
38,35.7846,35.43774
39,36.4435,35.72243
40,37.0408,35.83187
41,36.7183,35.38556
42,37.7863,35.84726
43,37.8405,36.05170
44,38.5297,36.16583
45,39.5794,36.77499
46,40.2225,37.05479
47,41.3229,37.63464
48,41.9216,37.69586
49,42.7216,38.24729
50,43.2510,38.57418
51,42.8627,38.30682
52,44.2556,39.26657
53,44.6232,39.27613
54,44.5542,39.20184
55,44.8516,39.05443
56,45.3631,39.14006
57,44.8732,38.74180
58,46.2222,39.65416
59,45.8627,39.49883
60,46.6712,40.11146
61,46.0072,39.35777
62,46.7389,39.87241
63,46.4203,39.62733
64,46.9585,39.82967
65,47.0268,40.15979
66,47.3958,40.16157
67,48.0987,40.32455
68,47.6199,40.00747
69,48.3605,40.61133
70,48.8471,40.60700
71,48.6072,40.35974
72,49.4186,40.62660
73,49.5059,40.63687
74,49.6706,40.40350
75,50.1016,40.46176
76,50.4016,40.28073
77,50.7915,40.26860
78,50.4967,39.85056
79,51.1493,39.97863
